Fix;Lat;Long
DY402;008.19.24.500S;114.15.06.100E
DY403;008.19.06.000S;114.17.08.500E
DY602;008.17.58.500S;114.24.35.900E
DY603;008.17.33.100S;114.27.23.500E
NITAB;008.19.36.600S;114.13.45.700E
TUPRU;008.25.05.400S;114.11.07.000E
AKPOR;002.20.44.000S;113.43.15.000E
ALDEP;002.29.17.000S;113.52.14.000E
ATLUP;002.31.18.000S;113.52.40.000E
BIGUB;002.20.57.000S;113.27.22.000E
DABEP;002.27.38.500S;114.01.58.700E
DUBET;002.29.06.000S;114.00.49.000E
GG601;002.23.52.000S;114.00.30.800E
KADUB;002.27.42.000S;113.29.57.000E
OLMIL;002.25.57.000S;113.39.39.000E
VEBKA;002.37.00.000S;114.05.37.000E
AVGEG;002.33.01.200S;111.30.17.200E
BONEO;002.52.39.800S;111.51.36.800E
DAWAI;002.36.41.700S;113.05.35.800E
NIBUN;002.23.00.700S;112.50.57.900E
HH402;007.47.34.300S;110.18.34.600E
HQ601;007.32.15.100S;110.55.49.400E
HQ602;007.31.38.700S;110.58.34.500E
HQ603;007.28.12.700S;110.57.48.800E
HQ604;007.29.41.800S;110.51.07.900E
HQ605;007.30.15.900S;110.48.34.700E
ALBUS;006.50.09.000S;110.51.48.000E
ALDAV;006.29.15.000S;111.41.23.000E
AVBOD;006.44.28.000S;110.36.03.000E
AVGOX;006.44.11.000S;110.42.27.000E
AVKAT;007.02.33.000S;110.31.59.000E
DULEP;006.59.34.000S;110.52.57.000E
FD282;006.59.31.260S;110.27.18.840E
HS402;006.54.29.900S;110.17.57.600E
HS601;007.04.46.100S;110.30.08.000E
HS602;007.02.18.400S;110.27.13.700E
HS603;007.00.49.900S;110.25.27.900E
IGUGI;006.23.53.000S;111.01.42.000E
ISTUV;006.54.03.000S;110.33.27.000E
KIMAM;006.30.42.000S;110.50.26.000E
LAVOR;006.46.42.000S;111.10.30.000E
MESAL;006.44.42.000S;110.17.24.000E
NIMED;006.44.47.000S;110.27.20.000E
NUBGU;006.38.01.000S;110.28.14.000E
ODUDU;006.33.02.000S;110.38.37.000E
OKAPU;007.06.51.000S;110.51.40.000E
OVLOX;006.50.39.000S;110.51.56.000E
PEDGI;007.00.55.700S;110.33.22.600E
UPNAB;006.34.31.000S;110.41.05.000E
UPVIK;006.51.20.000S;110.28.42.000E
VANPA;006.38.01.000S;110.40.38.000E
VEKLU;007.06.55.000S;111.04.48.000E
VIGAB;007.02.46.000S;110.16.44.000E
KUSAN;003.24.23.500S;115.46.14.300E
OC401;003.24.28.200S;115.49.14.200E
OC402;003.24.36.400S;115.54.14.100E
OC404;003.24.51.300S;116.03.26.100E
OC601;003.26.17.300S;116.09.55.800E
OC602;003.24.54.000S;116.05.07.400E
OC603;003.24.48.400S;116.01.37.500E
OC604;003.24.38.800S;115.55.43.400E
SUJUD;003.27.07.400S;116.12.48.800E
OK401;003.08.50.100S;116.06.22.700E
OK402;003.12.35.500S;116.07.50.600E
OK403;003.16.02.300S;116.09.11.300E
POLIV;003.08.38.400S;116.13.07.200E
SIRIN;003.04.51.010S;116.05.34.280E
TATOL;003.04.45.300S;116.05.32.400E
AGSUM;004.19.39.000S;113.57.58.000E
AKENA;002.52.33.000S;114.14.51.000E
AKRIP;004.01.36.000S;114.07.16.000E
AKVEN;003.41.34.000S;114.25.27.000E
ALGOP;003.26.23.000S;114.15.10.000E
ANRIP;003.39.28.000S;115.00.32.000E
ATEVA;003.05.51.000S;113.52.00.000E
ATRUD;002.52.13.000S;114.18.42.000E
AVMUG;003.05.07.000S;114.24.09.000E
BD235;004.23.29.690S;113.21.48.260E
BERKU;003.52.02.000S;114.29.31.000E
BIKLO;003.08.47.000S;113.56.01.000E
BITUV;002.53.22.000S;114.44.32.000E
BJ401;003.24.37.900S;114.35.26.100E
BJ402;003.25.17.900S;114.39.02.100E
BJ403;003.27.10.400S;114.49.12.100E
BJ601;003.24.37.900S;114.35.26.100E
BJ602;003.25.19.300S;114.39.10.300E
BJ603;003.27.10.400S;114.49.12.100E
DIVSO;003.58.52.000S;114.12.19.000E
DOLKA;003.29.35.200S;115.02.16.900E
DULOV;002.43.14.000S;115.09.04.000E
EBMFA;003.27.37.600S;114.51.10.350E
ELMUK;003.45.21.000S;116.13.08.000E
ENKAV;003.38.41.000S;116.44.48.000E
GOGAX;003.50.21.000S;114.51.55.000E
GULOR;003.12.55.000S;114.55.32.000E
GUNOG;003.22.14.000S;115.09.37.000E
GUPNU;003.58.57.000S;115.53.23.000E
IDEGO;003.02.19.000S;114.53.23.000E
ISNIT;002.57.51.000S;114.35.54.000E
ITABU;003.31.28.000S;116.03.54.000E
KAGDO;003.26.21.000S;114.04.19.000E
KALPI;003.21.22.000S;114.31.02.000E
KAMVI;003.38.59.000S;115.43.49.000E
KUKIP;003.00.22.000S;114.28.13.000E
LEBUD;003.27.31.000S;114.30.12.000E
LIBNU;003.24.05.800S;114.31.17.500E
LIGNO;003.32.41.000S;113.40.01.000E
LOVRO;003.25.25.000S;115.28.20.000E
LUVUK;003.15.58.000S;114.32.43.000E
MABLA;003.27.55.000S;113.45.39.000E
MOMPO;004.33.15.000S;114.28.29.000E
MUBLI;003.57.21.000S;114.00.40.000E
NITUM;003.36.02.000S;114.53.01.000E
NODAV;003.04.35.000S;114.44.58.000E
NUSLI;003.19.47.000S;115.04.15.000E
OLMEP;003.32.36.000S;115.14.30.000E
OLVUM;003.00.42.000S;114.43.54.000E
OPEPO;003.46.35.000S;114.06.00.000E
OTBAV;003.13.00.000S;114.44.36.000E
PARBU;002.53.51.000S;115.34.50.000E
POSUD;003.37.22.000S;114.27.11.000E
RUVOR;003.29.27.000S;115.55.39.000E
SAPGA;003.50.14.000S;115.03.21.000E
SAVNU;003.16.04.000S;115.06.14.000E
UBRON;003.44.45.000S;114.47.55.000E
UDURI;003.19.01.000S;114.50.44.000E
AKBAT;008.10.00.800S;112.47.13.400E
GUSER;008.03.58.000S;112.42.01.200E
ISPAD;008.14.24.900S;112.46.51.600E
LEDUK;008.13.55.900S;112.41.03.100E
RA601;008.06.06.900S;112.45.23.000E
RA602;008.03.11.100S;112.44.40.200E
RA603;007.58.40.600S;112.43.34.400E
OMULA;007.10.10.400S;111.45.05.800E
RC601;007.10.33.500S;111.42.02.000E
RC602;007.10.56.100S;111.39.02.400E
APAMU;007.30.33.000S;112.30.35.000E
APEDI;007.36.14.000S;112.59.35.000E
ASERU;007.28.03.000S;112.17.53.000E
ATMAM;006.28.50.000S;112.18.19.000E
BAWEN;006.36.37.000S;113.11.04.000E
BELIR;007.34.11.000S;112.49.09.000E
BETSA;007.20.55.300S;112.35.42.700E
BIRUN;007.07.38.000S;112.52.26.000E
BOGOM;007.30.50.000S;113.25.38.000E
DIRGA;007.07.37.000S;113.16.43.000E
EMARA;006.56.01.000S;113.19.13.000E
EMSUB;006.46.13.000S;112.28.24.000E
ENKUK;007.17.48.000S;112.19.34.000E
ERATA;007.01.24.000S;112.17.42.000E
FUSAL;006.57.42.000S;112.08.21.000E
GARDA;007.15.46.000S;113.06.32.000E
GOLEK;007.24.38.500S;112.58.38.600E
GOSNI;007.28.29.000S;112.20.03.000E
IKIRI;007.24.06.000S;112.55.20.000E
JERAM;007.20.22.000S;112.32.18.000E
KAKLI;007.43.43.000S;113.32.31.000E
KAKTO;006.48.09.000S;113.03.47.000E
LARSO;006.53.34.000S;113.06.25.000E
LEKUM;007.22.19.000S;113.10.09.000E
LOTEK;007.20.22.200S;112.32.19.400E
MACEL;007.18.40.000S;113.25.58.000E
MATRA;007.12.04.000S;112.51.35.000E
NAMIA;007.36.28.000S;113.52.40.000E
NINEL;007.12.16.000S;112.20.32.000E
NIRIN;006.58.43.000S;112.29.52.000E
NOMOS;007.39.15.000S;113.15.03.000E
PIDAL;007.47.18.000S;113.40.54.000E
PUPAK;007.30.40.000S;113.25.40.000E
RIGPA;007.09.24.000S;111.59.55.000E
RINVA;007.38.17.000S;113.10.08.000E
RUJAK;007.32.36.000S;112.41.01.000E
RUVIB;006.30.37.000S;113.17.07.000E
SADPU;007.25.45.900S;113.01.49.400E
SAPAL;007.45.28.000S;113.52.20.000E
SAPEB;007.55.56.000S;113.40.43.000E
SB105;007.20.56.370S;112.35.48.750E
SB125;007.25.04.190S;112.58.34.500E
TATUG;007.14.21.000S;113.10.50.000E
TENAN;007.21.38.700S;112.40.09.700E
TEPET;007.23.56.100S;112.54.16.300E
UKLIN;007.04.35.000S;112.35.23.000E
URDIG;006.41.49.000S;112.48.01.000E
VERSA;007.28.01.000S;113.12.20.000E
ALGID;006.54.22.900S;113.43.26.300E
IKOLI;007.04.14.000S;113.57.20.500E
RT401;006.54.22.900S;113.43.26.300E
RT402;006.58.06.200S;113.48.41.200E
RT403;006.59.44.800S;113.51.00.300E
RT601;007.07.53.600S;114.02.30.700E
BW401;005.43.19.700S;112.33.04.200E
BW402;005.43.21.900S;112.36.16.800E
